Commodity,District,Region,Year,Month,Month_Name,Quarter,Season,Avg_Monthly_Price,Date
Beans Nambaale,Hoima,Western,2024,10,Oct,Q4,Peak Lean,3058,01/10/2024
Beans Nambaale,Hoima,Western,2024,11,Nov,Q4,Post-Harvest,3160,01/11/2024
Beans Nambaale,Hoima,Western,2024,12,Dec,Q4,Post-Harvest,2718,01/12/2024
Beans Nambaale,Hoima,Western,2025,1,Jan,Q1,Post-Harvest,2635,01/01/2025
Beans Nambaale,Hoima,Western,2025,2,Feb,Q1,Post-Harvest,2937,01/02/2025
Beans Nambaale,Hoima,Western,2025,3,Mar,Q1,Lean Season,3317,01/03/2025
Beans Nambaale,Hoima,Western,2025,4,Apr,Q2,Lean Season,3413,01/04/2025
Beans Nambaale,Hoima,Western,2025,5,May,Q2,Lean Season,3345,01/05/2025
Beans Nambaale,Hoima,Western,2025,6,Jun,Q2,Lean Season,3160,01/06/2025
Beans Nambaale,Hoima,Western,2025,7,Jul,Q3,Early Harvest,2602,01/07/2025
Beans Nambaale,Hoima,Western,2025,8,Aug,Q3,Early Harvest,2451,01/08/2025
Beans Nambaale,Hoima,Western,2025,9,Sep,Q3,Early Harvest,2814,01/09/2025
Beans Nambaale,Hoima,Western,2025,10,Oct,Q4,Peak Lean,3328,01/10/2025
Beans Nambaale,Hoima,Western,2025,11,Nov,Q4,Post-Harvest,3428,01/11/2025
Beans Nambaale,Hoima,Western,2025,12,Dec,Q4,Post-Harvest,2875,01/12/2025
Beans Nambaale,Jinja,Eastern,2024,1,Jan,Q1,Post-Harvest,2549,01/01/2024
Beans Nambaale,Jinja,Eastern,2024,2,Feb,Q1,Post-Harvest,2900,01/02/2024
Beans Nambaale,Jinja,Eastern,2024,3,Mar,Q1,Lean Season,3223,01/03/2024
Beans Nambaale,Jinja,Eastern,2024,4,Apr,Q2,Lean Season,3290,01/04/2024
Beans Nambaale,Jinja,Eastern,2024,5,May,Q2,Lean Season,3282,01/05/2024
Beans Nambaale,Jinja,Eastern,2024,6,Jun,Q2,Lean Season,3041,01/06/2024
Beans Nambaale,Jinja,Eastern,2024,7,Jul,Q3,Early Harvest,2539,01/07/2024
Beans Nambaale,Jinja,Eastern,2024,8,Aug,Q3,Early Harvest,2403,01/08/2024
Beans Nambaale,Jinja,Eastern,2024,9,Sep,Q3,Early Harvest,2793,01/09/2024
Beans Nambaale,Jinja,Eastern,2024,10,Oct,Q4,Peak Lean,3301,01/10/2024
Beans Nambaale,Jinja,Eastern,2024,11,Nov,Q4,Post-Harvest,3307,01/11/2024
Beans Nambaale,Jinja,Eastern,2024,12,Dec,Q4,Post-Harvest,2826,01/12/2024
Beans Nambaale,Jinja,Eastern,2025,1,Jan,Q1,Post-Harvest,2814,01/01/2025
Beans Nambaale,Jinja,Eastern,2025,2,Feb,Q1,Post-Harvest,3063,01/02/2025
Beans Nambaale,Jinja,Eastern,2025,3,Mar,Q1,Lean Season,3493,01/03/2025
Beans Nambaale,Jinja,Eastern,2025,4,Apr,Q2,Lean Season,3660,01/04/2025
Beans Nambaale,Jinja,Eastern,2025,5,May,Q2,Lean Season,3515,01/05/2025
Beans Nambaale,Jinja,Eastern,2025,6,Jun,Q2,Lean Season,3235,01/06/2025
Beans Nambaale,Jinja,Eastern,2025,7,Jul,Q3,Early Harvest,2738,01/07/2025
Beans Nambaale,Jinja,Eastern,2025,8,Aug,Q3,Early Harvest,2529,01/08/2025
Beans Nambaale,Jinja,Eastern,2025,9,Sep,Q3,Early Harvest,2946,01/09/2025
Beans Nambaale,Jinja,Eastern,2025,10,Oct,Q4,Peak Lean,3503,01/10/2025
Beans Nambaale,Jinja,Eastern,2025,11,Nov,Q4,Post-Harvest,3593,01/11/2025
Beans Nambaale,Jinja,Eastern,2025,12,Dec,Q4,Post-Harvest,3047,01/12/2025
Beans Nambaale,Kampala,Central,2024,1,Jan,Q1,Post-Harvest,2720,01/01/2024
Beans Nambaale,Kampala,Central,2024,2,Feb,Q1,Post-Harvest,3144,01/02/2024
Beans Nambaale,Kampala,Central,2024,3,Mar,Q1,Lean Season,3442,01/03/2024
Beans Nambaale,Kampala,Central,2024,4,Apr,Q2,Lean Season,3635,01/04/2024
Beans Nambaale,Kampala,Central,2024,5,May,Q2,Lean Season,3489,01/05/2024
Beans Nambaale,Kampala,Central,2024,6,Jun,Q2,Lean Season,3290,01/06/2024
Beans Nambaale,Kampala,Central,2024,7,Jul,Q3,Early Harvest,2743,01/07/2024
Beans Nambaale,Kampala,Central,2024,8,Aug,Q3,Early Harvest,2609,01/08/2024
Beans Nambaale,Kampala,Central,2024,9,Sep,Q3,Early Harvest,2967,01/09/2024
Beans Nambaale,Kampala,Central,2024,10,Oct,Q4,Peak Lean,3526,01/10/2024
Beans Nambaale,Kampala,Central,2024,11,Nov,Q4,Post-Harvest,3579,01/11/2024
Beans Nambaale,Kampala,Central,2024,12,Dec,Q4,Post-Harvest,3052,01/12/2024
Beans Nambaale,Kampala,Central,2025,1,Jan,Q1,Post-Harvest,3015,01/01/2025
Beans Nambaale,Kampala,Central,2025,2,Feb,Q1,Post-Harvest,3391,01/02/2025
Beans Nambaale,Kampala,Central,2025,3,Mar,Q1,Lean Season,3802,01/03/2025
Beans Nambaale,Kampala,Central,2025,4,Apr,Q2,Lean Season,3896,01/04/2025
Beans Nambaale,Kampala,Central,2025,5,May,Q2,Lean Season,3865,01/05/2025
Beans Nambaale,Kampala,Central,2025,6,Jun,Q2,Lean Season,3543,01/06/2025
Beans Nambaale,Kampala,Central,2025,7,Jul,Q3,Early Harvest,2979,01/07/2025
Beans Nambaale,Kampala,Central,2025,8,Aug,Q3,Early Harvest,2817,01/08/2025
Beans Nambaale,Kampala,Central,2025,9,Sep,Q3,Early Harvest,3222,01/09/2025
Beans Nambaale,Kampala,Central,2025,10,Oct,Q4,Peak Lean,3815,01/10/2025
Beans Nambaale,Kampala,Central,2025,11,Nov,Q4,Post-Harvest,3871,01/11/2025
Beans Nambaale,Kampala,Central,2025,12,Dec,Q4,Post-Harvest,3283,01/12/2025
Beans Nambaale,Kasese,Western,2024,1,Jan,Q1,Post-Harvest,2341,01/01/2024
Beans Nambaale,Kasese,Western,2024,2,Feb,Q1,Post-Harvest,2620,01/02/2024
Beans Nambaale,Kasese,Western,2024,3,Mar,Q1,Lean Season,2923,01/03/2024
Beans Nambaale,Kasese,Western,2024,4,Apr,Q2,Lean Season,3088,01/04/2024
Beans Nambaale,Kasese,Western,2024,5,May,Q2,Lean Season,2954,01/05/2024
Beans Nambaale,Kasese,Western,2024,6,Jun,Q2,Lean Season,2770,01/06/2024
Beans Nambaale,Kasese,Western,2024,7,Jul,Q3,Early Harvest,2319,01/07/2024
Beans Nambaale,Kasese,Western,2024,8,Aug,Q3,Early Harvest,2143,01/08/2024
Beans Nambaale,Kasese,Western,2024,9,Sep,Q3,Early Harvest,2487,01/09/2024
Beans Nambaale,Kasese,Western,2024,10,Oct,Q4,Peak Lean,2978,01/10/2024
Beans Nambaale,Kasese,Western,2024,11,Nov,Q4,Post-Harvest,3044,01/11/2024
Beans Nambaale,Kasese,Western,2024,12,Dec,Q4,Post-Harvest,2626,01/12/2024
Beans Nambaale,Kasese,Western,2025,1,Jan,Q1,Post-Harvest,2538,01/01/2025
Beans Nambaale,Kasese,Western,2025,2,Feb,Q1,Post-Harvest,2807,01/02/2025
Beans Nambaale,Kasese,Western,2025,3,Mar,Q1,Lean Season,3201,01/03/2025
Beans Nambaale,Kasese,Western,2025,4,Apr,Q2,Lean Season,3242,01/04/2025
Beans Nambaale,Kasese,Western,2025,5,May,Q2,Lean Season,3206,01/05/2025
Beans Nambaale,Kasese,Western,2025,6,Jun,Q2,Lean Season,3019,01/06/2025
Beans Nambaale,Kasese,Western,2025,7,Jul,Q3,Early Harvest,2487,01/07/2025
Beans Nambaale,Kasese,Western,2025,8,Aug,Q3,Early Harvest,2351,01/08/2025
Beans Nambaale,Kasese,Western,2025,9,Sep,Q3,Early Harvest,2727,01/09/2025
Beans Nambaale,Kasese,Western,2025,10,Oct,Q4,Peak Lean,3174,01/10/2025
Beans Nambaale,Kasese,Western,2025,11,Nov,Q4,Post-Harvest,3285,01/11/2025
Beans Nambaale,Kasese,Western,2025,12,Dec,Q4,Post-Harvest,2814,01/12/2025
Beans Nambaale,Kayunga,Central,2024,1,Jan,Q1,Post-Harvest,2292,01/01/2024
Beans Nambaale,Kayunga,Central,2024,2,Feb,Q1,Post-Harvest,2563,01/02/2024
Beans Nambaale,Kayunga,Central,2024,3,Mar,Q1,Lean Season,2942,01/03/2024
Beans Nambaale,Kayunga,Central,2024,4,Apr,Q2,Lean Season,3001,01/04/2024
Beans Nambaale,Kayunga,Central,2024,5,May,Q2,Lean Season,2980,01/05/2024
Beans Nambaale,Kayunga,Central,2024,6,Jun,Q2,Lean Season,2749,01/06/2024
Beans Nambaale,Kayunga,Central,2024,7,Jul,Q3,Early Harvest,2298,01/07/2024
Beans Nambaale,Kayunga,Central,2024,8,Aug,Q3,Early Harvest,2158,01/08/2024
Beans Nambaale,Kayunga,Central,2024,9,Sep,Q3,Early Harvest,2471,01/09/2024
